# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2012-2020 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Sun Mar 29 15:41:10 EDT 2020
#
# Fields:
# reference,studyfactors,exposurestressors,receptors,studycountries,mediums,exposuremarkers,diseases,phenotypes,authorsummary
#
19561065,,Tetrachlorodibenzodioxin^D013749^MESH,^^^^Workers,United States,,,Death^D003643^MESH|Sarcoma^D012509^MESH,,"With the exception of soft tissue sarcoma, the authors found little evidence of increased disease risk from exposure to tetrachlorodibenzodioxin."
19590686,genetics,Angiotensin Receptor Antagonists^D057911^MESH|Particulate Matter^D052638^MESH,ITPR2^gene^3709^GENE^Subjects with gene influence:|^^^^Military personnel|MMP1^gene^4312^GENE^Subjects with gene influence:|PHF11^gene^51131^GENE^Subjects with gene influence:,United States,air,Particulate Matter^D052638^MESH,,regulation of blood pressure^GO:0008217^GO,Particulate Matter <=2.5 microns in diameter influences blood pressure and autonomic function. This effect is modified by genes and drugs that also act along this pathway.
19590687,,Lead^D007854^MESH,^^^^Study subjects|^^^^Workers,"Taiwan, Province of China",blood|patella|tibia,Lead^D007854^MESH,,cellular amine metabolic process^GO:0044106^GO|choline metabolic process^GO:0019695^GO|creatine metabolic process^GO:0006600^GO,"This magnetic resonance spectroscopy study comparing the brain metabolism of middle-age workers chronically exposed to lead with matched nonexposed controls revealed a negative correlation between blood and bone lead and brain N-acetyl aspartate and choline levels, especially in the frontal and occipital lobes."
19590689,,Uranium^D014501^MESH,^^^^Military personnel|^^^^Study subjects,United States,urine,Uranium^D014501^MESH,,,"The overwhelming majority (97%) of the 1,769 urine specimens submitted by Gulf War and post-Gulf War veterans had urine Uranium levels in the range of those found in the general U.S. population, that is, <=95th percentile of National Health and Nutrition Examination Survey results collected between 2001 and 2002."
19590690,,Particulate Matter^D052638^MESH,,United States,"air, ambient",Ammonium Compounds^D064751^MESH|Carbon^D002244^MESH|Nitrates^D009566^MESH|Silicon^D012825^MESH|Sodium^D012964^MESH|Soot^D053260^MESH|Sulfates^D013431^MESH,Cardiovascular Diseases^D002318^MESH|Respiration Disorders^D012120^MESH,,Ambient levels of elemental carbon (soot) and organic carbon were associated with the largest risks of emergency hospitalization for cardiovascular and respiratory diseases across the major chemical constituents of fine particulate matter PM2.5 in the US.
19590691,genetics,Maneb^D008344^MESH|Paraquat^D010269^MESH,SLC6A3^gene^6531^GENE^Subjects with gene influence:|^^^^Workers,United States,,,Parkinson Disease^D010300^MESH,,Our population-based case-control study of Parkinson's Disease (PD) conducted in a California population heavily exposed to pesticides replicates and extends evidence for an association between dopamine transporter (DAT) variants and PD and highlights possible interactions of disease-associated DAT susceptibility alleles and pesticide exposure.
19590692,,Beryllium^D001608^MESH,^^^^Workers,United States,,,Berylliosis^D001607^MESH,,"In summary, combining published observational data and several possible progression models suggests that the risk of developing beryllium-sensitized without disease (BeS) is greatest in the first few years after exposure and then declines, and that the annual risk of progressing from BeS to chronic beryllium disease declines over time."
19590699,,"2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|Hexachlorobenzene^D006581^MESH|Pentachlorophenol^D010416^MESH|Polychlorinated Biphenyls^D011078^MESH",^^^^Infants or newborns|^^^^Pregnant females,Canada,"blood, cord|plasma","2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|Hexachlorobenzene^D006581^MESH|Pentachlorophenol^D010416^MESH|Polychlorinated Biphenyls^D011078^MESH",,gene expression^GO:0010467^GO|hormone metabolic process^GO:0042445^GO,In this study we examined the relationship between exposure to potential thyroid hormone-disrupting toxicants and thyroid hormone status in pregnant Inuit women from Nunavik and their infants within the first year of life.
19591669,,Lead^D007854^MESH,^^^^Children,Sweden,blood,Lead^D007854^MESH,,,"The results show that proximity to the lead smelter still has an impact on the children's blood lead levels.  The analysis also revealed that urban children exposed to lead from traffic were only affected during the early period, when there were considerable amounts of lead in petrol, and that the prohibition of lead in petrol in later years led to reduced levels of lead in the blood of urban children."
19594904,,Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,^^^^Study subjects,United Kingdom,air,Particulate Matter^D052638^MESH,Cardiovascular Diseases^D002318^MESH,,"Our pooled analysis of data from three years of the Health Survey for England, which included over 19,000 white men and women aged 45 and older, demonstrates the associations between chronic exposure to air pollutants and prevalence of self-reported doctor-diagnosed cardiovascular disease."
19594949,,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|DDT^D003634^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Hexachlorobenzene^D006581^MESH|Mirex^D008917^MESH|nonachlor^C001870^MESH|oxychlordane^C008743^MESH|PCB 180^C410127^MESH|Polychlorinated Biphenyls^D011078^MESH",^^^^Study subjects,United States,follicular fluid|serum,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|DDT^D003634^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Hexachlorobenzene^D006581^MESH|Mirex^D008917^MESH|nonachlor^C001870^MESH|oxychlordane^C008743^MESH|PCB 180^C410127^MESH|Polychlorinated Biphenyls^D011078^MESH",,,The present study was conducted to assess the correlation between concentrations of organochlorines in serum and follicular fluid samples collected from a subset of women undergoing assisted reproductive technologies.
19595304,,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Chromium^D002857^MESH|Copper^D003300^MESH|Lead^D007854^MESH|Manganese^D008345^MESH|Molybdenum^D008982^MESH|Thallium^D013793^MESH|Zinc^D015032^MESH,^^^^Study subjects,United States,,,,gene expression^GO:0010467^GO,"The present study assessed the relationship between metal concentrations in blood and serum prolactin and thyrotropin levels, markers of dopaminergic and thyroid function, respectively, among men participating in a study of environmental influences on male reproductive health."
19603741,,Benzene^D001554^MESH|Toluene^D014050^MESH,^^^^Study subjects,United States,air,Benzene^D001554^MESH|Toluene^D014050^MESH,,,"The estimated percentage contributions of personal exposures from ambient sources were generally higher in the hot spot area than the urban reference area in Camden, NJ, for benzene and toluene."
19615679,,butylate^C023898^MESH,^^^^Workers,United States,,,"Agricultural Workers' Diseases^D000382^MESH|Hematologic Neoplasms^D019337^MESH|Lymphoma, Non-Hodgkin^D008228^MESH|Prostatic Neoplasms^D011471^MESH",,"We examined butylate use and cancer risk more broadly in the Agricultural Health Study, a cohort of licensed pesticide applicators in Iowa and North Carolina."
19620729,race|socioeconomic status|tobacco,Air Pollutants^D000393^MESH,^^^^Children,United States,,Nitric Oxide^D009569^MESH,Asthma^D001249^MESH,,These results suggest that children from stressful households are more susceptible to the effects of traffic-related pollution and in utero tobacco smoke on the development of asthma.
19643133,race|socioeconomic status,Lead^D007854^MESH,^^^^Children,United States,,Lead^D007854^MESH,,cognition^GO:0050890^GO,"We find that early childhood lead exposure is associated with lower performance on reading end-of-grade test scores in a clear dose-response pattern, with the effects increasingly more pronounced in moving from the high end to the low end of the test score distribution."
19650582,,Paraquat^D010269^MESH,^^^^Workers,United States,,,"Agricultural Workers' Diseases^D000382^MESH|Lymphoma, Non-Hodgkin^D008228^MESH",,"In this study, non-Hodgkin's lymphoma risk was significantly associated with the ever-use of paraquat."
19652462,,Fluorides^D005459^MESH|Selenium^D012643^MESH,^^^^Study subjects,China,,,"Fluorosis, Dental^D009050^MESH",gene expression^GO:0010467^GO,Selenium increases expression of HSP70 and antioxidant enzymes to lessen oxidative damage in Fincoal-type fluorosis.
19654914,,Air Pollutants^D000393^MESH|Vehicle Emissions^D001335^MESH,^^^^Workers,United States,,,"Arthritis, Rheumatoid^D001172^MESH",,The observed association between exposure to traffic pollution and Rheumatoid arthritis (RA) suggests that pollution from traffic in adulthood may be a newly identified environmental risk factor for RA.
19654916,,"2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH",Diabetes Mellitus^disease^D003920^MESH^Controls for disease:|Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|^^^^Study subjects,United States,serum,"2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH",Diabetes Mellitus^D003920^MESH,glucose homeostasis^GO:0042593^GO,"This study demonstrates an association between p,p'-diphenyldichloroethene exposure and incident diabetes."
19654917,,perfluorooctanoic acid^C023036^MESH,^^^^Study subjects,United States,serum,perfluorooctanoic acid^C023036^MESH,,,Perfluorooctanoic acid levels in a population varied with distance of residence from a chemical plant and employment at the chemical plant.
19672407,,Hazardous Waste^D006256^MESH,^^^^Study subjects,United States,,,Kidney Neoplasms^D007680^MESH|Urinary Bladder Neoplasms^D001749^MESH,,"Although the incidence of total cancers and most site-specific cancers among the Love Canal residents from 1979 to 1996 were similar to that for the general population, we observed elevations of bladder and kidney cancers."
19672412,sex,Ozone^D010126^MESH|Particulate Matter^D052638^MESH,Coronary Disease^disease^D003327^MESH^Controls for disease:|Coronary Disease^disease^D003327^MESH^Subjects with disease:|Diabetes Mellitus^disease^D003920^MESH^Controls for disease:|Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|^^^^Study subjects,Germany,air,CRP^1401^GENE|Ozone^D010126^MESH|Particulate Matter^D052638^MESH,Atherosclerosis^D050197^MESH|Inflammation^D007249^MESH,,Our study indicates that long-term residential exposure to high levels of Particulate Matter (2.5) is associated with systemic inflammatory markers in men.
19696718,,Lead^D007854^MESH,^^^^Children,United States,automobile|blood|child safety seat,Lead^D007854^MESH,Lead Poisoning^D007855^MESH,,"Persons employed in high-risk lead-related occupations can transport lead dust home from a worksite through clothing, shoes, tools, or vehicles."
19700145,,Insecticides^D007306^MESH|Organophosphates^D010755^MESH|Pesticides^D010575^MESH|Triazines^D014227^MESH,^^^^Children,United States,,,Precursor Cell Lymphoblastic Leukemia-Lymphoma^D054198^MESH,,"Elevated acute lymphoblastic leukemia risk was associated with lifetime moderate exposure, but not high exposure, to certain physicochemical categories of pesticides, including organophosphates, cholorinated phenols, and triazines, and with pesticides classified as insecticides or fumigants."
19700501,,Cadmium^D002104^MESH|Lead^D007854^MESH,Albuminuria^disease^D000419^MESH^Controls for disease:|Albuminuria^disease^D000419^MESH^Subjects with disease:|^^^^Study subjects,United States,blood,Cadmium^D002104^MESH|Lead^D007854^MESH,Albuminuria^D000419^MESH|Kidney Diseases^D007674^MESH,glomerular filtration^GO:0003094^GO,"In this large, representative sample of US adults, increased blood cadmium and lead levels were strong, independent risk factors for the prevalence of albuminuria, reduced estimated glomerular filtration rate, and both outcomes together."
19700503,age|tobacco,Pesticides^D010575^MESH,^^^^Workers,United States,,,Myocardial Infarction^D009203^MESH,,"In a population with low risk for myocardial infarction, the authors observed little evidence of increased risk of myocardial infarction mortality or nonfatal myocardial infarction associated with the occupational use of pesticides."
19707249,diet,"1,6-anhydro-beta-glucopyranose^C014989^MESH|Particulate Matter^D052638^MESH",^^^^Study subjects,United States,urine,"1,6-anhydro-beta-glucopyranose^C014989^MESH|Particulate Matter^D052638^MESH",,,These studies suggest that diet is a major factor in determining urinary levoglucosan levels and recent dietary history needs to be taken into account for future work involving levoglucosan as a biomarker of wood smoke exposure.
19744713,,Chlorpyrifos^D004390^MESH|Diazinon^D003976^MESH,^^^^Children,United States,,Chlorpyrifos^D004390^MESH|Diazinon^D003976^MESH,,,"Cumulative Aggregate Simulation of Exposure was used to estimate residential non-dietary organophosphate pesticide exposure (i.e., inhalation, dermal, and non-dietary ingestion) to California farmworker children and evaluate the micro-activity approach."
19750099,,bisphenol A^C006780^MESH|methylparaben^C015358^MESH|oxybenzone^C005290^MESH|propylparaben^C006068^MESH|Triclosan^D014260^MESH,^^^^Study subjects,United States,urine,bisphenol A^C006780^MESH|methylparaben^C015358^MESH|oxybenzone^C005290^MESH|propylparaben^C006068^MESH|Triclosan^D014260^MESH,,,"Despite within-person variability resulting from other sources of BPA exposure, a measurable increase in urinary BPA resulted from only 1 week of exposure to beverages contained in polycarbonate bottles."
19750100,disease|genetics,Air Pollutants^D000393^MESH|Carbon Monoxide^D002248^MESH|Vehicle Emissions^D001335^MESH,FGB^gene^2244^GENE^Subjects with gene influence:|IL6^gene^3569^GENE^Subjects with gene influence:|Myocardial Infarction^disease^D009203^MESH^Subjects with disease:,Finland|Germany|Greece|Italy|Spain|Sweden,"air, ambient|plasma",Carbon Monoxide^D002248^MESH|IL6^3569^GENE|Nitrogen Dioxide^D009585^MESH|Particulate Matter^D052638^MESH,,positive regulation of interleukin-6 production^GO:0032755^GO,"We found the interleukin-6 response to air pollution is modified by genetic polymorphisms in IL6 and FGB genes, suggesting the effect of gaseous traffic-related air pollution on inflammation may be stronger in genetic subpopulations with ischemic heart disease."
19750101,,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,2',4,4',5-pentachlorobiphenyl^C500336^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|2,3,3',4,4',5-hexachlorobiphenyl^C087667^MESH|2,3,3',4,4'-pentachlorobiphenyl^C067940^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,4',5-tetrachlorobiphenyl^C541132^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|beta-hexachlorocyclohexane^C023888^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Dioxins^D004147^MESH|Halogenated Diphenyl Ethers^D055768^MESH|Hexachlorobenzene^D006581^MESH|Hydrocarbons, Chlorinated^D006843^MESH|PCB 180^C410127^MESH|Pentachlorophenol^D010416^MESH|perfluorooctane sulfonic acid^C076994^MESH|Polybrominated Biphenyls^D011075^MESH|Polychlorinated Biphenyls^D011078^MESH|Selenium^D012643^MESH",^^^^Study subjects,Canada,blood|plasma|serum,"2,2',3,3',4,4',5-heptachlorobiphenyl^C541131^MESH|2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,2',4,4',5-pentachlorobiphenyl^C500336^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|2,3,3',4,4',5-hexachlorobiphenyl^C087667^MESH|2,3,3',4,4'-pentachlorobiphenyl^C067940^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,4',5-tetrachlorobiphenyl^C541132^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|beta-hexachlorocyclohexane^C023888^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Dioxins^D004147^MESH|hexabrominated diphenyl ether 153^C517828^MESH|Hexachlorobenzene^D006581^MESH|PCB 180^C410127^MESH|Pentachlorophenol^D010416^MESH|perfluorooctane sulfonic acid^C076994^MESH|Polychlorinated Biphenyls^D011078^MESH|Selenium^D012643^MESH|SERPINA7^6906^GENE|Thyroxine^D013974^MESH|Triiodothyronine^D014284^MESH|TSHB^7252^GENE",,regulation of thyroid-stimulating hormone secretion^GO:2000612^GO|thyroid hormone metabolic process^GO:0042403^GO,"Exposure to several polyhalogenated compounds was associated with modifications of the thyroid parameters in adult Inuit, mainly by reducing total triiodothyronine and thyroxine-binding globulin circulating concentrations."
19750103,body mass index,Pesticides^D010575^MESH,^^^^Pregnant females,United States,,,"Agricultural Workers' Diseases^D000382^MESH|Hypertension, Pregnancy-Induced^D046110^MESH|Pre-Eclampsia^D011225^MESH",,Exposure to pesticides during pregnancy may increase the risk of hypertensive disorders of pregnancy.
19750105,genetics,Insecticides^D007306^MESH|Organophosphates^D010755^MESH,PON1^gene^5444^GENE^Subjects with gene influence:|^^^^Workers,United States,blood,BCHE^590^GENE,,cholinesterase activity^GO:0004104^GO,We found that both low PON1 catalytic efficiency (Q192 alloform) and low plasma PON1 activity were associated with butyrylcholinesterase inhibition among organophosphate insecticide-exposed agricultural pesticide handlers.
19750108,genetics,Particulate Matter^D052638^MESH,CCND1^gene^595^GENE^Subjects with gene influence:|TP53^gene^7157^GENE^Subjects with gene influence:,Switzerland,,,,respiratory system process^GO:0003016^GO,Our results suggest that cell cycle control genes may modify the degree to which improved air quality may benefit respiratory function in adults.
19750109,,arsenic acid^C025657^MESH|Arsenic^D001151^MESH|arsenite^C015001^MESH|arsenobetaine^C038992^MESH|Cacodylic Acid^D002101^MESH|monomethylarsonic acid^C020300^MESH,^^^^Study subjects,United States,urine,arsenic acid^C025657^MESH|Arsenic^D001151^MESH|arsenite^C015001^MESH|arsenobetaine^C038992^MESH|Cacodylic Acid^D002101^MESH|monomethylarsonic acid^C020300^MESH,,,This study found low to moderate inorganic arsenic exposure and confirmed long-term constancy in arsenic exposure and urine excretion patterns in American Indians from three U.S. regions over a 10-year period.
19754930,,Tetrachlorodibenzodioxin^D013749^MESH,^^^^Study subjects,Italy,,,Breast Neoplasms^D001943^MESH|Hematologic Neoplasms^D019337^MESH,,"The extension of the Seveso cancer incidence study confirmed an excess risk of lymphatic and hematopoietic tissue neoplasms in the most (2,3,7,8-tetrachlorodibenzo-p-dioxin) exposed zones."
19772576,age|tobacco,Air Pollutants^D000393^MESH|Benzene^D001554^MESH|Toluene^D014050^MESH|Vehicle Emissions^D001335^MESH,^^^^Workers,Italy,air,Benzene^D001554^MESH|Toluene^D014050^MESH,,telomere maintenance^GO:0000723^GO,"Our results indicate that leukocyte telomere length is shortened in subjects exposed to traffic pollution, suggesting evidence of early biological aging and disease risk."
19781087,,Air Pollutants^D000393^MESH,^^^^Children,South Africa,,,Asthma^D001249^MESH,,"The study showed a measurable health effect, both an excess of asthma symptoms in comparison with the rest of the city, and more frequent wheezing symptoms associated with an index of estimated petrochemical refinery emissions exposure."
19802527,sex,Cadmium^D002104^MESH|Calcium^D002118^MESH|Chlorides^D002712^MESH|Chromium^D002857^MESH|Copper^D003300^MESH|Iron^D007501^MESH|Lead^D007854^MESH|Magnesium^D008274^MESH|Manganese^D008345^MESH|Nickel^D009532^MESH|Nitrites^D009573^MESH|Potassium^D011188^MESH|Sodium^D012964^MESH|Sulfates^D013431^MESH|Zinc^D015032^MESH,Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|^^^^Study subjects,Poland,"water, rain",Cadmium^D002104^MESH|Calcium^D002118^MESH|Chlorides^D002712^MESH|Chromium^D002857^MESH|Copper^D003300^MESH|Iron^D007501^MESH|Lead^D007854^MESH|Magnesium^D008274^MESH|Manganese^D008345^MESH|Nickel^D009532^MESH|Nitrites^D009573^MESH|Potassium^D011188^MESH|Sodium^D012964^MESH|Sulfates^D013431^MESH|Zinc^D015032^MESH,Diabetes Mellitus^D003920^MESH,,"We present contents of elements in rainwater for 12 counties in Poland, and then provide relationships between these elements and hospitalization frequencies due to diabetes and obesity, and find in cases of diabetes relevant correlation indicators for chromium, cadmium, and lead, and borderline relevance for copper and zinc; for diabetic men, the statistically relevant correlations were for chromium, lead, cadmium, copper, chloride, zinc, and iron; for women, the only relevant correlations were for chromium and cadmium; no significant correlations were found for obesity."
19811781,,"2,2',3,3',4,4',5-heptachlorobiphenyl^C541131^MESH|2,2',3,3',4,6'-hexachlorobiphenyl^C094859^MESH|2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,2',4,4',5-pentachlorobiphenyl^C500336^MESH|2,3,3',4,4'-pentachlorobiphenyl^C067940^MESH|2,3,4,4'5-pentachlorobiphenyl^C035834^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,4',5-tetrachlorobiphenyl^C541132^MESH|2,4,4'-trichlorobiphenyl^C081766^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|2,4,5,2',5'-pentachlorobiphenyl^C009828^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Mercury^D008628^MESH|PCB 180^C410127^MESH|Polychlorinated Biphenyls^D011078^MESH",^^^^Study subjects,United States,blood|serum,"2,2',3,3',4,4',5-heptachlorobiphenyl^C541131^MESH|2,2',3,3',4,6'-hexachlorobiphenyl^C094859^MESH|2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,2',4,4',5-pentachlorobiphenyl^C500336^MESH|2,3,3',4,4'-pentachlorobiphenyl^C067940^MESH|2,3,4,4'5-pentachlorobiphenyl^C035834^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,4',5-tetrachlorobiphenyl^C541132^MESH|2,4,4'-trichlorobiphenyl^C081766^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|2,4,5,2',5'-pentachlorobiphenyl^C009828^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Mercury^D008628^MESH|PCB 180^C410127^MESH|Polychlorinated Biphenyls^D011078^MESH",,,Hmong immigrants in northeastern Wisconsin are at risk of elevated Polychlorinated Biphenyls exposure from consumption of locally caught fish.
19821201,diet|disease,Aflatoxins^D000348^MESH,"Hepatitis, Viral, Human^disease^D006525^MESH^Controls for disease:|Hepatitis, Viral, Human^disease^D006525^MESH^Subjects with disease:",Turkey,serum,Aflatoxin B1^D016604^MESH|aflatoxin B2^C029753^MESH|aflatoxin G1^C027955^MESH|aflatoxin G2^C029754^MESH,,,"We have documented that in viral hepatitis patients, aflatoxin exposure is significantly higher than in healthy subjects in Turkey and it may play an important role in the development of hepatocellular carcinoma."
19826548,,Tobacco Smoke Pollution^D014028^MESH,^^^^Children,South Africa,,Tobacco Smoke Pollution^D014028^MESH,Asthma^D001249^MESH,,"The study shows that persistent cough (OR = 4.01), exposure to smoke at the household level (OR = 2.39) and lack of access to flush toileta at the household level (OR = 1.89) are key predictors of asthma in children."
19846564,,perfluorohexanesulfonic acid^C471071^MESH|perfluoro-n-nonanoic acid^C101816^MESH|perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,^^^^Study subjects,United States,serum,perfluorohexanesulfonic acid^C471071^MESH|perfluoro-n-nonanoic acid^C101816^MESH|perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,,cholesterol metabolic process^GO:0008203^GO,"A cross-sectional study of lipids and Perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate  was conducted among 46,294 community residents aged 18 years or above, who drank water contaminated with PFOA from a chemical plant in West Virginia."
19848166,,"1,2-bis(2,4,6-tribromophenoxy)ethane^C081014^MESH|2-ethylhexyl 2,3,4,5-tetrabromobenzoate^C576261^MESH|bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate^C576262^MESH|Flame Retardants^D005411^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabromocyclododecane^C089796^MESH|triphenyl phosphate^C005445^MESH|tris(1,3-dichloro-2-propyl)phosphate^C016805^MESH|tris(1-chloro-2-propyl)phosphate^C000610787^MESH",^^^^Children|^^^^Study subjects,United States,dust,"1,2-bis(2,4,6-tribromophenoxy)ethane^C081014^MESH|2-ethylhexyl 2,3,4,5-tetrabromobenzoate^C576261^MESH|bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate^C576262^MESH|Flame Retardants^D005411^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabromocyclododecane^C089796^MESH|triphenyl phosphate^C005445^MESH|tris(1,3-dichloro-2-propyl)phosphate^C016805^MESH|tris(1-chloro-2-propyl)phosphate^C000610787^MESH",,,We designed this study to identify potential organophosphate flame retardant chemicals currently being used in polyurethane foam in residential and office furniture purchased in the United States.
19876850,,Mustard Gas^D009151^MESH,^^^^Veterans,"Iran, Islamic Republic of",,,Cough^D003371^MESH|Dyspnea^D004417^MESH|Eye Manifestations^D005132^MESH|Photophobia^D020795^MESH|Pruritus^D011537^MESH,,"We conclude that the most common late complications of sulphur mustard poisoning affect the respiratory tract, skin, and eyes, and that respiratory complications generally increase over time; follow-up of exposed veterans is recommended to help in early diagnosis of complications and prevent the late manifestations of this toxicity."
19879291,,Manganese^D008345^MESH,^^^^Children|^^^^Study subjects|^^^^Workers,United States,blood|hair,Manganese^D008345^MESH,,,"The purpose of this pilot research study was to characterize ambient air Mn exposure and evaluate the relationship between biological measures of Mn exposure in blood and hair, modeled exposure, and genetic variants in HFE and TF in an Appalachian American community in Southeast Ohio exposed to air Mn from an active ferromanganese refinery."
19884647,disease,Particulate Matter^D052638^MESH|Soot^D053260^MESH,GSTM1^gene^2944^GENE^Subjects with gene influence:|Obesity^disease^D009765^MESH^Subjects with disease:|^^^^Study subjects,United States,,Soot^D053260^MESH|VCAM1^7412^GENE,,gene expression^GO:0010467^GO,"We examined the effect of PM exposure in a large cohort and found an association between BC and increases in sVCAM-1, which was greater in magnitude than that associated with a 1 year increase in age."
19888312,,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|Chlorpyrifos^D004390^MESH",^^^^Workers,United States,urine,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|3,5,6-trichloro-2-pyridinol^C012587^MESH",,,This study provides a direct assessment of the intensity score algorithm within the Agricultural Health Study cohort for several application methods.
19889457,age,"2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|decabromobiphenyl ether^C010902^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|hexabromocyclododecane^C089796^MESH|hexabromodiphenyl ether 154^C533761^MESH|pentabrominated diphenyl ether 100^C517827^MESH|pentabromodiphenyl ether^C086401^MESH|Polybrominated Biphenyls^D011075^MESH|tribromodiphenyl ether 28^C533760^MESH",^^^^Mothers,Norway,"milk, human","2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|decabromobiphenyl ether^C010902^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|hexabromocyclododecane^C089796^MESH|hexabromodiphenyl ether 154^C533761^MESH|pentabrominated diphenyl ether 100^C517827^MESH|pentabromodiphenyl ether^C086401^MESH|Polybrominated Biphenyls^D011075^MESH|tribromodiphenyl ether 28^C533760^MESH",,,"The aim of this study was to measure the current levels of brominated flame retardants in Norwegian breast milk and investigate how they vary with diet, county, socioeconomic and lifestyle factors."
19890147,,Air Pollutants^D000393^MESH|Vehicle Emissions^D001335^MESH,^^^^Study subjects,United States,,Air Pollutants^D000393^MESH,Asthma^D001249^MESH,,We used our findings regarding traffic-related exposures and health hazards in the area to facilitate community education and action to address transportation-related health burdens on neighborhood residents.
